field,dtype,orig_name,example,drop,groupby,round
measurement_calibration_sensors_channel_10__calibration_1__caldata_25__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[25].c2,6.17E-04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_25__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[25].c3,-2.93E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_26__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[26].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_26__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[26].c1,1.49E+03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_26__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[26].c2,4.43E-04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_26__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[26].c3,-5.21E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_27__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[27].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_27__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[27].c1,2.07E+03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_27__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[27].c2,3.16E-04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_27__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[27].c3,-8.17E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_28__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[28].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_28__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[28].c1,2.88E+03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_28__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[28].c2,2.28E-04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_28__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[28].c3,-1.17E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_29__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[29].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_29__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[29].c1,4.00E+03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_29__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[29].c2,1.63E-04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_29__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[29].c3,-1.67E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_3__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[3].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_3__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[3].c1,7.72E-01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_3__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[3].c2,2.00E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_3__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[3].c3,8.86E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_30__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[30].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_30__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[30].c1,5.56E+03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_30__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[30].c2,1.16E-04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_30__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[30].c3,-2.36E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_31__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[31].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_31__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[31].c1,7.72E+03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_31__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[31].c2,8.09E-05,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_31__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[31].c3,-3.33E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_32__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[32].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_32__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[32].c1,1.07E+04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_32__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[32].c2,5.46E-05,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_32__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[32].c3,-4.57E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_33__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[33].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_33__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[33].c1,1.49E+04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_33__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[33].c2,3.48E-05,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_33__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[33].c3,-6.15E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_34__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[34].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_34__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[34].c1,2.07E+04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_34__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[34].c2,2.06E-05,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_34__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[34].c3,-7.71E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_35__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[35].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_35__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[35].c1,2.88E+04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_35__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[35].c2,1.25E-05,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_35__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[35].c3,-9.38E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_36__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[36].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_36__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[36].c1,4.00E+04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_36__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[36].c2,7.70E-06,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_36__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[36].c3,-1.20E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_37__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[37].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_37__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[37].c1,5.56E+04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_37__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[37].c2,4.08E-06,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_37__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[37].c3,-1.57E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_38__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[38].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_38__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[38].c1,6.00E+04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_38__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[38].c2,3.38E-06,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_38__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[38].c3,-1.66E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_39__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[39].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_39__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[39].c1,4.00E-01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_39__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[39].c2,1.04E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_39__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[39].c3,1.49E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_4__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[4].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_4__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[4].c1,1.07E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_4__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[4].c2,2.00E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_4__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[4].c3,8.81E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_40__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[40].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_40__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[40].c1,5.56E-01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_40__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[40].c2,1.30E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_40__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[40].c3,1.40E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_41__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[41].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_41__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[41].c1,7.72E-01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_41__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[41].c2,1.55E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_41__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[41].c3,1.30E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_42__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[42].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_42__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[42].c1,1.07E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_42__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[42].c2,1.75E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_42__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[42].c3,1.21E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_43__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[43].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_43__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[43].c1,1.49E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_43__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[43].c2,1.89E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_43__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[43].c3,1.12E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_44__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[44].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_44__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[44].c1,2.07E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_44__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[44].c2,1.98E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_44__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[44].c3,1.05E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_45__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[45].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_45__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[45].c1,2.88E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_45__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[45].c2,2.03E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_45__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[45].c3,9.86E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_46__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[46].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_46__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[46].c1,4.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_46__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[46].c2,2.05E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_46__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[46].c3,9.28E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_47__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[47].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_47__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[47].c1,5.56E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_47__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[47].c2,2.05E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_47__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[47].c3,8.73E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_48__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[48].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_48__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[48].c1,7.72E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_48__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[48].c2,2.03E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_48__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[48].c3,8.15E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_49__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[49].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_49__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[49].c1,1.07E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_49__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[49].c2,1.99E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_49__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[49].c3,7.50E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_5__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[5].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_5__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[5].c1,1.49E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_5__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[5].c2,1.99E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_5__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[5].c3,8.74E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_50__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[50].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_50__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[50].c1,1.49E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_50__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[50].c2,1.90E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_50__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[50].c3,6.74E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_51__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[51].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_51__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[51].c1,2.07E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_51__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[51].c2,1.76E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_51__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[51].c3,5.86E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_52__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[52].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_52__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[52].c1,2.88E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_52__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[52].c2,1.55E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_52__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[52].c3,4.89E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_53__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[53].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_53__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[53].c1,4.00E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_53__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[53].c2,1.31E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_53__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[53].c3,3.91E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_54__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[54].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_54__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[54].c1,5.56E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_54__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[54].c2,1.04E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_54__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[54].c3,3.00E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_55__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[55].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_55__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[55].c1,7.72E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_55__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[55].c2,7.97E-03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_55__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[55].c3,2.24E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_56__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[56].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_56__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[56].c1,1.07E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_56__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[56].c2,5.94E-03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_56__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[56].c3,1.63E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_57__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[57].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_57__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[57].c1,1.49E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_57__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[57].c2,4.37E-03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_57__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[57].c3,1.16E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_58__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[58].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_58__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[58].c1,2.07E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_58__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[58].c2,3.17E-03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_58__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[58].c3,7.95E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_59__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[59].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_59__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[59].c1,2.88E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_59__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[59].c2,2.29E-03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_59__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[59].c3,5.14E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_6__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[6].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_6__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[6].c1,2.07E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_6__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[6].c2,1.99E-02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_6__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[6].c3,8.64E+01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_60__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[60].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_60__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[60].c1,4.00E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_60__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[60].c2,1.66E-03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_60__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[60].c3,2.88E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_61__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[61].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_61__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[61].c1,5.56E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_61__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[61].c2,1.19E-03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_61__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[61].c3,9.09E-01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_62__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[62].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_62__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[62].c1,7.72E+02,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_62__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[62].c2,8.59E-04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_62__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[62].c3,-9.47E-01,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_63__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[63].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_63__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[63].c1,1.07E+03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_63__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[63].c2,6.18E-04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_63__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[63].c3,-2.90E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_64__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[64].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_64__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[64].c1,1.49E+03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_64__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[64].c2,4.44E-04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_64__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[64].c3,-5.16E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_65__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[65].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_65__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[65].c1,2.07E+03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_65__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[65].c2,3.19E-04,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_65__c3,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[65].c3,-7.97E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_66__c0,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[66].c0,0.00E+00,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_66__c1,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[66].c1,2.88E+03,1,,
measurement_calibration_sensors_channel_10__calibration_1__caldata_66__c2,str,measurement.calibration_sensors.channel[10].calibration[1].caldata[66].c2,2.29E-04,1,,
